ms_zoning,lot_area,land_contour,land_slope,neighborhood,condition_1,bldg_type,house_style,year_built,year_remod_add,mas_vnr_type,garage_area,wood_deck_sf,open_porch_sf,kitchen_qual,bedroom_abvgr,sale_type,saleprice,qual_cond,exter_qual_cond,bsmt_qual_cond,fireplaces_weighted,sq_ft,bsmt_weighted_sf,bath
RL,13517,Lvl,Gtl,Sawyer,RRAe,1Fam,2Story,1976,2005,BrkFace,475.0,0,44,4,3,WD ,130500,48,12,9,0,1479,629.0,2.5
RL,11492,Lvl,Gtl,SawyerW,Norm,1Fam,2Story,1996,1997,BrkFace,559.0,0,74,4,4,WD ,220000,35,12,12,3,2122,775.0,2.5
RL,7922,Lvl,Gtl,NAmes,Norm,1Fam,1Story,1953,2007,None,246.0,0,52,4,3,WD ,109000,35,12,9,0,1057,894.0,1.0
RL,9802,Lvl,Gtl,Timber,Norm,1Fam,2Story,2006,2007,None,400.0,100,0,3,3,WD ,174000,25,9,12,0,1444,192.0,2.5
RL,14235,Lvl,Gtl,SawyerW,Norm,1Fam,1.5Fin,1900,1993,None,484.0,0,59,3,3,WD ,138500,48,9,8,0,1445,338.0,2.0
RL,16492,Lvl,Gtl,NAmes,PosA,1Fam,1Story,1966,2002,None,578.0,0,0,4,2,WD ,190000,36,12,9,4,1888,525.5,2.5
RM,3675,Lvl,Gtl,Edwards,Norm,TwnhsE,SFoyer,2005,2006,BrkFace,525.0,0,44,3,2,New,140000,30,9,12,0,1072,547.0,2.0
RL,12160,Lvl,Gtl,NAmes,Norm,1Fam,1Story,1959,1959,BrkFace,531.0,0,0,3,3,COD,142000,25,9,9,0,1188,1094.0,1.0
RL,15783,Lvl,Gtl,OldTown,Artery,1Fam,1Story,1952,1952,None,420.0,0,324,3,2,WD ,112500,25,9,9,0,924,608.0,1.0
RL,11606,HLS,Sev,NAmes,Norm,1Fam,2Story,1969,1969,BrkFace,504.0,335,0,2,5,WD ,135000,25,9,12,6,2080,845.0,2.0
RM,1680,Lvl,Gtl,BrDale,Norm,Twnhs,2Story,1971,1971,BrkFace,264.0,0,0,3,2,COD,85400,30,9,9,0,987,435.0,1.5
RL,7488,Lvl,Gtl,CollgCr,Norm,1Fam,1Story,2005,2005,None,632.0,105,58,4,2,WD ,183600,35,12,12,0,1208,800.5,2.0
RL,26400,Bnk,Gtl,SawyerW,Feedr,1Fam,2Story,1880,2007,None,576.0,0,0,3,4,WD ,131000,35,12,0,3,2016,0.0,1.0
FV,2645,Lvl,Gtl,Somerst,Norm,Twnhs,2Story,1999,2000,BrkFace,480.0,169,0,4,3,ConLD,200000,40,12,12,0,1607,886.5,2.5
RL,9627,Lvl,Gtl,CollgCr,Norm,1Fam,1Story,2007,2007,None,610.0,0,50,4,3,WD ,193000,35,12,12,0,1361,687.5,2.0
RL,10114,Lvl,Gtl,Mitchel,Norm,1Fam,1Story,2004,2005,None,624.0,0,0,4,3,WD ,173500,25,9,15,0,1430,715.0,2.0
RM,4571,Lvl,Gtl,OldTown,Norm,1Fam,2Story,1916,1950,None,513.0,0,0,3,4,COD,98000,25,9,9,0,1344,312.0,1.0
RL,8816,Lvl,Gtl,Sawyer,Feedr,1Fam,1Story,1963,1963,None,480.0,0,80,3,3,WD ,139000,30,9,9,0,1121,886.0,1.0
RL,8197,Lvl,Gtl,Sawyer,Norm,1Fam,1Story,1977,1977,BrkFace,528.0,138,0,3,3,WD ,143500,30,9,9,3,1285,330.0,1.5
FV,8640,Lvl,Gtl,Somerst,Norm,1Fam,2Story,2009,2009,None,614.0,169,45,4,3,Con,215200,35,9,12,0,1547,390.0,2.5
RL,8724,Lvl,Gtl,Sawyer,Norm,1Fam,1Story,1968,1968,None,450.0,0,0,3,3,WD ,129000,25,9,12,1,894,693.0,1.0
RL,5664,Lvl,Gtl,StoneBr,Norm,TwnhsE,1Story,2000,2000,None,499.0,212,59,5,2,WD ,278000,40,12,12,5,1659,1329.5,2.0
RL,12867,Lvl,Gtl,NridgHt,Norm,1Fam,2Story,2005,2006,None,575.0,243,142,5,3,New,344133,40,12,15,4,2253,604.5,2.5
